lead_hashed_id,campaign_joined_date,lead_job_title,lead_industry,lead_country,campaign_name,lead_source,lead_status
011c1b8f66f416ed05e466117839bc82,2021-12-08,Student,,DE,2) FY19_IOT_Robotics_Whitepaper_OSconsiderations,,Disqualified
0214109a8d2ea5665e250426e666d745,2021-06-10,SE,,BE,2) FY19_IOT_Robotics_Whitepaper_OSconsiderations,,Disqualified
02b78453c1a350f85dce07e6d1d135b5,2021-09-22,engineer,,BD,2) FY19_IOT_Robotics_Whitepaper_OSconsiderations,,Nurture
03f08c9e402a968fbad2ef8b6df881b3,2021-07-22,Professor,,US,2) FY19_IOT_Robotics_Whitepaper_OSconsiderations,,Disqualified
04e1a8cbf3cf2f13a1d2ae1177dd5b45,2021-07-12,Student,,IT,2) FY19_IOT_Robotics_Whitepaper_OSconsiderations,,Disqualified
06180b996be92c5876c631a4e604f88e,2021-10-07,student,,,2) FY19_IOT_Robotics_Whitepaper_OSconsiderations,Twitter organic,Disqualified
06b33b3165279ca690fc8276664cfeaf,2021-03-24,MD,,RO,2) FY19_IOT_Robotics_Whitepaper_OSconsiderations,,Nurture
06ce709e3b71680ddf2d5493cf64436d,2021-03-10,software developer,,,2) FY19_IOT_Robotics_Whitepaper_OSconsiderations,,Unsubscribed
08596c4a756e8ecdc7683c9187e7366c,2021-09-20,Director,Manufacturer - Device/ Handset,US,2) FY19_IOT_Robotics_Whitepaper_OSconsiderations,,Disqualified
08ad2a317e6e47c5694d865a7b1f122e,2021-06-25,Developer,Software Development,NO,2) FY19_IOT_Robotics_Whitepaper_OSconsiderations,LinkedIn organic,Disqualified
09170ffcb46ad669c48fb6374a6287d3,2021-04-07,Automation,,BG,2) FY19_IOT_Robotics_Whitepaper_OSconsiderations,,Disqualified
0926088543564093cbb75e9f18107dd5,2021-06-30,RSM,Manufacturer - Computer Hardware,US,2) FY19_IOT_Robotics_Whitepaper_OSconsiderations,,Unsubscribed
096ecb0802a2864a846beb1411a53243,2021-07-23,Developer,,US,2) FY19_IOT_Robotics_Whitepaper_OSconsiderations,,Nurture
098c96c926a92f5012e13267d7813836,2021-07-19,CEO,,EE,2) FY19_IOT_Robotics_Whitepaper_OSconsiderations,Twitter organic,Unsubscribed
09ee53a896e3744ac3c49c017583f17f,2021-05-12,Senior Software Engineer,,US,2) FY19_IOT_Robotics_Whitepaper_OSconsiderations,,Nurture
0ab100b86ca2f086bb0fa785e1212820,2021-06-19,A,Education & Training,DE,2) FY19_IOT_Robotics_Whitepaper_OSconsiderations,Twitter organic,Disqualified
0cbffa5e76040ac6d1a6849abde24a70,2021-10-19,Student,,DE,2) FY19_IOT_Robotics_Whitepaper_OSconsiderations,,Unsubscribed
0e78307ef943918784b017c229647928,2021-11-21,owner,,NL,2) FY19_IOT_Robotics_Whitepaper_OSconsiderations,,Disqualified
0ea77adc54c6ae0305b275d883ceda07,2021-10-09,Engineer,Utilities & Energy,IQ,2) FY19_IOT_Robotics_Whitepaper_OSconsiderations,Facebook paid,Nurture
0fd534bcfb1a4ff5477f292d9d7881bb,2021-08-31,Senior Mechanical Engineer,,HK,2) FY19_IOT_Robotics_Whitepaper_OSconsiderations,,Nurture
11360afc00a90324b037a4b7488a8a23,2021-03-24,CEO,Information Technology,IN,2) FY19_IOT_Robotics_Whitepaper_OSconsiderations,Twitter organic,Disqualified
153ebc72f97c914150e8060d44462a11,2021-11-18,PostDoc Fellow,Education & Training,US,2) FY19_IOT_Robotics_Whitepaper_OSconsiderations,,Unsubscribed
15593661acb3510ec064f3e3f59cd7e4,2021-02-24,Research,,IN,2) FY19_IOT_Robotics_Whitepaper_OSconsiderations,Twitter organic,Disqualified
17d358285a878b04ca8feb45cb9c0aae,2021-05-04,Electrical Engineer,,NZ,2) FY19_IOT_Robotics_Whitepaper_OSconsiderations,,Unsubscribed
18aee50980fa6452866f7f02e2df75ac,2021-11-04,-,Other,CH,2) FY19_IOT_Robotics_Whitepaper_OSconsiderations,,Unsubscribed
197496236db8f16004438960b0cf6ca7,2021-10-05,Marketing,Information Technology,TW,2) FY19_IOT_Robotics_Whitepaper_OSconsiderations,Facebook organic,MQL
1c41f14de21d731e1b690d1f1b88a5a3,2021-05-24,Jobson,,PL,2) FY19_IOT_Robotics_Whitepaper_OSconsiderations,,Nurture
1cf0b29aa828f637bdac40fcd7f59d27,2021-08-12,Art,,,2) FY19_IOT_Robotics_Whitepaper_OSconsiderations,,Disqualified
1e0c17f88c33b9a3bed881ea375693b6,2021-04-06,Research Intern,,IN,2) FY19_IOT_Robotics_Whitepaper_OSconsiderations,,Unsubscribed
222e8b195c794f71c87f3a221f8cd88d,2021-10-28,design engineer,,GB,2) FY19_IOT_Robotics_Whitepaper_OSconsiderations,,Nurture
22416c9fba1fedd58a3b5e0b5d533a55,2021-03-25,sad administrator,,CL,2) FY19_IOT_Robotics_Whitepaper_OSconsiderations,,Disqualified
224493b25bbebec9a3840f73cf9dc5c7,2021-12-13,Student,,CN,2) FY19_IOT_Robotics_Whitepaper_OSconsiderations,,Disqualified
249c650c195d00250373a3e3e1a9137f,2021-02-16,Mr,Software Development,IT,2) FY19_IOT_Robotics_Whitepaper_OSconsiderations,Email,Disqualified
2719af2d2372e5fd53f087b62d9c2e93,2021-05-16,cmo,Education & Training,RU,2) FY19_IOT_Robotics_Whitepaper_OSconsiderations,,Nurture
297443a81fafe03d975d4e075de95ef9,2021-10-04,Software Developer,Transportation & Distribution,DE,2) FY19_IOT_Robotics_Whitepaper_OSconsiderations,,Disqualified
2981ecd750851dd6d6b28496ade74611,2021-07-25,entusiaste,,VE,2) FY19_IOT_Robotics_Whitepaper_OSconsiderations,,Nurture
2a8329657c55de04085bdf03834353b8,2021-06-12,engineer,,AU,2) FY19_IOT_Robotics_Whitepaper_OSconsiderations,,Disqualified
2ae1e767c1583644a1b65e0b17e14dea,2021-08-07,not applicable,,,2) FY19_IOT_Robotics_Whitepaper_OSconsiderations,,Disqualified
2bf645909193488467ac97e7da038511,2021-08-07,programmer,,,2) FY19_IOT_Robotics_Whitepaper_OSconsiderations,Facebook organic,Disqualified
2bfea058ec6c932fedfc775826ef8bdd,2021-09-03,Product engineer,Education & Training,US,2) FY19_IOT_Robotics_Whitepaper_OSconsiderations,,Nurture
2e0db27ef7fa4a2a1047dea605386ee8,2021-10-29,Senior Director of Software and Mobile Apps,,US,2) FY19_IOT_Robotics_Whitepaper_OSconsiderations,,Disqualified
2e318d45433e81bc96a3cd78bdf5f83a,2021-11-08,Senior Site Reliability Engineer,Information Technology,JP,2) FY19_IOT_Robotics_Whitepaper_OSconsiderations,,Nurture
3025fa5e6e09ace8d60f453fa62c5fb3,2021-04-12,tech,,US,2) FY19_IOT_Robotics_Whitepaper_OSconsiderations,,Nurture
31da072aa114185637c87edf126f0286,2021-09-29,sinor,,FI,2) FY19_IOT_Robotics_Whitepaper_OSconsiderations,,Unsubscribed
353d33a23dd830eb043d7df21043479a,2021-11-01,asdasd,,NZ,2) FY19_IOT_Robotics_Whitepaper_OSconsiderations,,Disqualified
3872c65e7f59bd2bf8286667be280e6f,2021-09-09,Trainee,,TH,2) FY19_IOT_Robotics_Whitepaper_OSconsiderations,Twitter organic,Nurture
38a8a074184f231529c584ae593b0531,2021-04-22,Electrical Engineer,,AU,2) FY19_IOT_Robotics_Whitepaper_OSconsiderations,Twitter organic,Nurture
38e49d1a020bbb1aea787435eef08789,2021-08-13,Student,,,2) FY19_IOT_Robotics_Whitepaper_OSconsiderations,Twitter organic,Disqualified
3a392ddef4e75086138e2660fc386ad5,2021-03-11,Eng,,IT,2) FY19_IOT_Robotics_Whitepaper_OSconsiderations,,Disqualified
3aae7fc12f41a20cf598d92422e749ef,2021-01-09,Product director,,TW,2) FY19_IOT_Robotics_Whitepaper_OSconsiderations,LinkedIn organic,Nurture
3bd5e9fbaf483ef46fa957eb6ce8f5da,2021-07-09,PhD Student,,CA,2) FY19_IOT_Robotics_Whitepaper_OSconsiderations,,Disqualified
3c0b64c907a9c6d09181e666d7dbd0ec,2021-09-25,Student,,IN,2) FY19_IOT_Robotics_Whitepaper_OSconsiderations,,Disqualified
3f320083e507e53c6bf59974bd45ac46,2021-04-30,CAIO,Information Technology,AU,2) FY19_IOT_Robotics_Whitepaper_OSconsiderations,,Disqualified
404175c5563be8783783d3f6fb94fee8,2021-11-04,IT Lead,,US,2) FY19_IOT_Robotics_Whitepaper_OSconsiderations,Twitter organic,Disqualified
405354b0501adf4d12a8db9e47e7cade,2021-03-22,Head of hardware Innovation,,BR,2) FY19_IOT_Robotics_Whitepaper_OSconsiderations,,Nurture
405c380ec8bf7674673ee087903cc330,2021-12-07,Research Associate,,DE,2) FY19_IOT_Robotics_Whitepaper_OSconsiderations,,Disqualified
40a85679ac1f49e5a12a9b2bb40453b0,2021-10-06,Manager,Manufacturer - Computer Hardware,TW,2) FY19_IOT_Robotics_Whitepaper_OSconsiderations,Facebook organic,Contact
41f632118d5ec9e71670c66d0d1b0df5,2021-12-23,DIPL. ING.,,DE,2) FY19_IOT_Robotics_Whitepaper_OSconsiderations,Email,Disqualified
42141c592af1cec5fe38ee3e65574c00,2021-11-06,Software Architect,,DE,2) FY19_IOT_Robotics_Whitepaper_OSconsiderations,LinkedIn organic,Disqualified
42ce9c33dac535220307909e9347547f,2021-10-06,Professor,,,2) FY19_IOT_Robotics_Whitepaper_OSconsiderations,,Nurture
42e82c1da85513d731069bd723a82ea1,2021-10-28,.,,MX,2) FY19_IOT_Robotics_Whitepaper_OSconsiderations,,Disqualified
441a3eff67f980a527e024d52f06b2d9,2021-06-09,Robotics,,TR,2) FY19_IOT_Robotics_Whitepaper_OSconsiderations,,Disqualified
445f1b56aafaa70576c63c12ca8cb948,2021-03-12,Trainer,,US,2) FY19_IOT_Robotics_Whitepaper_OSconsiderations,,Disqualified
46a510827079d707ae922acbd331050a,2021-05-18,ROS developer,Banking and Finance,BR,2) FY19_IOT_Robotics_Whitepaper_OSconsiderations,,Unsubscribed
46b4414dc90d1658a69e60e2d175c836,2021-04-19,Manager,,TH,2) FY19_IOT_Robotics_Whitepaper_OSconsiderations,,Nurture
47524509e375a1d3f1357a48ec232de8,2021-07-22,Student,Education & Training,CH,2) FY19_IOT_Robotics_Whitepaper_OSconsiderations,,Disqualified
477c9c7c1e493e5bfe70fdf910abc8b1,2021-12-27,CEO,,CA,2) FY19_IOT_Robotics_Whitepaper_OSconsiderations,,MQL
47fbaf69d3a6ac169953bdbda0cf2d94,2021-01-26,Fae,,DE,2) FY19_IOT_Robotics_Whitepaper_OSconsiderations,Twitter organic,Nurture
487b0790ba98f4d2ff92020c3542f3ef,2021-11-25,Product manager,Industrial,TW,2) FY19_IOT_Robotics_Whitepaper_OSconsiderations,,Opportunity
49c7081227cc2d1dc76c6923a2d77211,2021-08-29,general,Automotive,JP,2) FY19_IOT_Robotics_Whitepaper_OSconsiderations,,Nurture
4b76cd1fddc14a7a499bd9ddbe2842bb,2021-04-21,SSD,,IN,2) FY19_IOT_Robotics_Whitepaper_OSconsiderations,Twitter organic,Nurture
4c2248d50c73a6c274fbec7248ae3e88,2021-09-16,STUDENT,Education & Training,CA,2) FY19_IOT_Robotics_Whitepaper_OSconsiderations,,Disqualified
4c47a9a4508661d37fdd0e6f04538274,2021-12-20,AEIOU,,AL,2) FY19_IOT_Robotics_Whitepaper_OSconsiderations,,Disqualified
4c86eb0906771142eb7b896f869bc228,2021-09-10,Owner,,US,2) FY19_IOT_Robotics_Whitepaper_OSconsiderations,,Disqualified
4e8e64f77ebee1f5bdaaadcb84ebba78,2021-11-17,Assoc. Prof.,,ES,2) FY19_IOT_Robotics_Whitepaper_OSconsiderations,,Disqualified
4f3b424ed4aa0bd2b0425b19ab3fb954,2021-10-24,DevOps Engineer,,DE,2) FY19_IOT_Robotics_Whitepaper_OSconsiderations,,Nurture
500ec544b7c96406a139f02eefc6d97c,2021-03-26,Senior Python Developer,,US,2) FY19_IOT_Robotics_Whitepaper_OSconsiderations,,Nurture
514ab713193a9b9271b99999d79a0f94,2021-07-23,No,,US,2) FY19_IOT_Robotics_Whitepaper_OSconsiderations,,Disqualified
54efa4d71c22fd5d0a31fc41dfe1d576,2021-03-04,fwaefawef,,DE,2) FY19_IOT_Robotics_Whitepaper_OSconsiderations,Facebook organic,Disqualified
55d13e28d65910de0102d1a771fac3d1,2021-08-21,Director,Education & Training,MY,2) FY19_IOT_Robotics_Whitepaper_OSconsiderations,,Nurture
562a683e6c0c9a7ef2b536ff1f78352b,2021-10-20,Owner,,US,2) FY19_IOT_Robotics_Whitepaper_OSconsiderations,,Disqualified
5689ea6611cd04c62183082786d10e6b,2021-03-29,Director,,GB,2) FY19_IOT_Robotics_Whitepaper_OSconsiderations,,Nurture
5788338e46cb6f289fbc42aa84da732f,2021-05-29,Admin,Information Technology,BG,2) FY19_IOT_Robotics_Whitepaper_OSconsiderations,,Disqualified
5981614af74692135e3636a0745a7d7e,2021-03-14,Director,,,2) FY19_IOT_Robotics_Whitepaper_OSconsiderations,,Unsubscribed
5a06f5479b03bafbef0d355d8a9f2d71,2021-08-26,Programmer,,,2) FY19_IOT_Robotics_Whitepaper_OSconsiderations,,Nurture
5a7dbf157cc4be90da65c5e09f3b49ae,2021-07-03,intern,Construction,IN,2) FY19_IOT_Robotics_Whitepaper_OSconsiderations,,Nurture
5ace50a0becd624c01aa0b84bf8f9712,2021-03-12,Especialista,,CU,2) FY19_IOT_Robotics_Whitepaper_OSconsiderations,,Nurture
